date,Ice Harbor Daily Streamflows (unit:cfs),Lower Monumental (unit:cfs),Little Goose (unit:cfs),Lower Granite (unit:cfs)
1947-06-21,82945,82965,82820,81429
1947-06-22,78703,78723,78587,77636
1947-06-23,75723,75743,75612,75000
1947-06-24,73597,73617,73492,73037
1947-06-25,74642,74662,74542,74157
1947-06-26,73048,73068,72946,72768
1947-06-27,75291,75311,75171,75656
1947-06-28,81707,81727,81606,81309
1947-06-29,75883,75903,75788,74500
1947-06-30,70575,70595,70488,69275
1947-07-01,57549,57579,57541,56662
1947-07-02,55780,55810,55778,55340
1947-07-03,54357,54387,54362,54099
1947-07-04,51556,51586,51562,51314
1947-07-05,50602,50632,50608,50305
1947-07-06,48327,48357,48336,48092
1947-07-07,48007,48037,48022,47780
1947-07-08,45752,45782,45772,45520
1947-07-09,44010,44040,44031,43801
1947-07-10,41861,41891,41883,41695
1947-07-11,39113,39143,39135,38956
1947-07-12,37127,37157,37151,36901
1947-07-13,36640,36670,36669,36315
1947-07-14,34527,34557,34559,34310
1947-07-15,33895,33925,33923,33707
1947-07-16,33503,33533,33538,33308
1947-07-17,32177,32207,32214,32034
1947-07-18,30095,30125,30134,29943
1947-07-19,29714,29744,29760,29592
1947-07-20,28801,28831,28848,28718
1947-07-21,27331,27361,27379,27254
1947-07-22,26414,26444,26464,26373
1947-07-23,27032,27062,27082,27018
1947-07-24,25795,25825,25845,25782
1947-07-25,24804,24834,24854,24777
1947-07-26,25040,25070,25087,25028
1947-07-27,24630,24660,24680,24645
1947-07-28,25441,25471,25492,25438
1947-07-29,24244,24274,24297,24202
1947-07-30,24345,24375,24402,24337
1947-07-31,22658,22688,22716,22660
1947-08-01,23215,23235,23256,23223
1947-08-02,22216,22236,22258,22250
1947-08-03,22623,22643,22665,22636
1947-08-04,22709,22729,22750,22699
1947-08-05,21695,21715,21737,21673
1947-08-06,21638,21658,21681,21617
1947-08-07,20974,20994,21018,20969
1947-08-08,20724,20744,20769,20717
1947-08-09,21803,21823,21848,21798
1947-08-10,19782,19802,19826,19801
1947-08-11,19635,19655,19679,19666
1947-08-12,19225,19245,19269,19271
1947-08-13,19662,19682,19706,19738
1947-08-14,19880,19900,19927,19965
1947-08-15,18426,18446,18473,18460
1947-08-16,17357,17377,17405,17421
1947-08-17,19165,19185,19213,19239
1947-08-18,18985,19005,19033,19023
1947-08-19,19611,19632,19661,19653
1947-08-20,19385,19405,19435,19441
1947-08-21,18777,18797,18827,18894
1947-08-22,19569,19589,19618,19846
1947-08-23,20117,20137,20165,20538
1947-08-24,21410,21430,21458,21809
1947-08-25,21508,21528,21558,21267
1947-08-26,21055,21075,21104,21004
1947-08-27,20926,20946,20976,20913
1947-08-28,18834,18854,18884,18861
1947-08-29,19617,19637,19667,19679
1947-08-30,19978,19998,20027,20044
1947-08-31,20436,20456,20485,20430
1947-09-01,19308,19318,19313,19249
1947-09-02,20273,20283,20280,20279
1947-09-03,19242,19252,19249,19265
1947-09-04,21001,21011,21010,21006
1947-09-05,21867,21877,21876,21924
1947-09-06,22516,22526,22524,22559
1947-09-07,22727,22737,22728,22777
1947-09-08,20949,20959,20938,21152
1947-09-09,21260,21270,21241,21633
1947-09-10,22237,22247,22209,22437
1947-09-11,22139,22149,22125,22270
1947-09-12,21672,21682,21663,21491
1947-09-13,21078,21088,21075,20971
1947-09-14,21143,21153,21143,21030
1947-09-15,20016,20026,20012,19947
1947-09-16,19002,19012,18976,19139
1947-09-17,20585,20595,20507,21105
1947-09-18,22074,22084,22041,22188
1947-09-19,22588,22598,22565,22460
1947-09-20,20779,20789,20758,20842
1947-09-21,21353,21363,21338,21344
1947-09-22,20498,20508,20486,20398
1947-09-23,19800,19810,19793,19716
1947-09-24,20647,20657,20643,20628
1947-09-25,22010,22020,22007,22018
1947-09-26,22559,22569,22519,22523
1947-09-27,22902,22912,22861,22789
1947-09-28,21399,21409,21385,21337
1947-09-29,21032,21042,21024,21001
1947-09-30,20503,20513,20496,20501
1947-10-01,24725,24725,24649,24759
1947-10-02,24576,24576,24496,24613
1947-10-03,23695,23695,23607,24028
1947-10-04,25907,25907,25810,26873
1947-10-05,26400,26400,26310,25690
1947-10-06,25717,25717,25627,25501
1947-10-07,25172,25172,25087,25280
1947-10-08,25525,25525,25426,25510
1947-10-09,28144,28144,28035,28645
1947-10-10,28289,28289,28193,28033
1947-10-11,26947,26947,26838,26854
1947-10-12,28550,28550,28442,28534
1947-10-13,27234,27234,27142,26989
1947-10-14,23500,23500,23413,23289
1947-10-15,24704,24704,24618,24639
1947-10-16,27399,27399,27282,27936
1947-10-17,29552,29552,29414,30725
1947-10-18,30364,30364,30149,30505
1947-10-19,34705,34705,34513,34385
1947-10-20,31937,31937,31723,31238
1947-10-21,30665,30665,30461,30291
1947-10-22,30542,30542,30331,30112
1947-10-23,31083,31083,30893,30569
1947-10-24,30075,30075,29931,29802
1947-10-25,29170,29170,29046,28842
1947-10-26,28439,28439,28322,28107
1947-10-27,28593,28593,28479,28318
1947-10-28,27469,27469,27356,27285
1947-10-29,27573,27573,27454,27507
1947-10-30,29537,29537,29394,29541
1947-10-31,30293,30293,30160,30255
1947-11-01,30466,30466,30280,30183
1947-11-02,30288,30288,30109,29954
1947-11-03,30443,30443,30268,30162
1947-11-04,28956,28956,28779,28738
1947-11-05,29971,29971,29794,29823
1947-11-06,29276,29276,29097,29018
1947-11-07,28036,28036,27838,28063
1947-11-08,33729,33729,32666,34488
1947-11-09,38210,38210,37625,37790
1947-11-10,35680,35680,35262,34477
1947-11-11,33229,33229,32758,32705
1947-11-12,33653,33653,33268,33186
1947-11-13,32459,32459,32106,31919
1947-11-14,30958,30958,30596,30573
1947-11-15,29622,29622,29296,29307
1947-11-16,31358,31358,31062,31029
1947-11-17,31631,31631,31346,31303
1947-11-18,31809,31809,31525,31669
1947-11-19,31231,31231,30962,30829
1947-11-20,29836,29836,29581,29260
1947-11-21,28658,28658,28430,28199
1947-11-22,28374,28374,28156,27917
1947-11-23,26456,26456,26249,26029
1947-11-24,28020,28020,27821,27832
1947-11-25,28754,28754,28550,28902
1947-11-26,32927,32927,32042,33793
1947-11-27,46620,46620,45883,49203
1947-11-28,48427,48427,47868,46082
1947-11-29,41369,41369,40938,40264
1947-11-30,35943,35943,35491,35453
1947-12-01,42633,42633,41450,42153
1947-12-02,44277,44277,43109,43300
1947-12-03,41611,41611,40650,40196
1947-12-04,40208,40208,39285,38921
1947-12-05,38694,38694,37872,37530
1947-12-06,35741,35741,35013,34680
1947-12-07,36824,36824,36172,35901
1947-12-08,35713,35713,35127,34919
1947-12-09,34571,34571,34026,33789
1947-12-10,32808,32808,32313,32122
1947-12-11,32377,32377,31912,31785
1947-12-12,31721,31721,31285,31156
1947-12-13,32512,32512,32063,31986
1947-12-14,31810,31810,31247,31293
1947-12-15,32058,32058,31523,31548
1947-12-16,32610,32610,32177,32251
1947-12-17,32381,32381,31806,32056
1947-12-18,35955,35955,34159,34851
1947-12-19,38775,38775,36604,36817
1947-12-20,36798,36798,35287,34810
1947-12-21,34092,34092,33049,32828
1947-12-22,33366,33366,32457,32301
1947-12-23,31500,31500,30658,30452
1947-12-24,30869,30869,30104,29935
1947-12-25,29307,29307,28686,28492
1947-12-26,29906,29906,29255,29003
1947-12-27,29638,29638,29072,28934
1947-12-28,28433,28433,27864,27949
1947-12-29,30200,30200,29665,30018
1947-12-30,30190,30190,29717,29430
1947-12-31,28594,28594,28139,27719
1948-01-01,27660,27660,26700,26446
1948-01-02,28774,28774,26974,27184
1948-01-03,32993,32993,30173,30567
1948-01-04,29641,29641,27647,27635
1948-01-05,28186,28186,27042,27209
1948-01-06,32561,32561,29009,31022
1948-01-07,86779,86779,70350,79756
1948-01-08,103095,103095,91481,91605
1948-01-09,77780,77780,72349,69333
1948-01-10,65493,65493,61956,59958
1948-01-11,56572,56572,54104,52595
1948-01-12,49924,49924,47752,46503
1948-01-13,44088,44088,42909,41858
1948-01-14,39613,39613,38408,37651
1948-01-15,37178,37178,36123,35617
1948-01-16,36893,36893,35868,35488
1948-01-17,38487,38487,37428,37244
1948-01-18,35210,35210,34156,34159
1948-01-19,33757,33757,32773,32495
1948-01-20,30418,30418,29436,29298
1948-01-21,31427,31427,30451,30794
1948-01-22,31273,31273,30297,30512
1948-01-23,31837,31837,30799,31179
1948-01-24,37126,37126,36004,36736
1948-01-25,35450,35450,34372,33975
1948-01-26,32513,32513,31763,30856
1948-01-27,27888,27888,27303,26659
1948-01-28,27362,27362,26756,26478
1948-01-29,25925,25925,25153,25168
1948-01-30,25581,25581,24786,24849
1948-01-31,26319,26319,25501,25662
1948-02-01,29598,29598,28223,28508
1948-02-02,28022,28022,26713,26541
1948-02-03,25994,25994,24698,24426
1948-02-04,24996,24996,23712,23667
1948-02-05,25852,25852,24593,24486
1948-02-06,24637,24637,23439,23180
1948-02-07,23569,23569,22347,22263
1948-02-08,25729,25729,24408,24598
1948-02-09,26226,26226,24897,24896
1948-02-10,28035,28035,26744,26604
1948-02-11,28705,28705,27554,27236
1948-02-12,28505,28505,27328,27112
1948-02-13,29287,29287,28047,28206
1948-02-14,29999,29999,28734,28991
1948-02-15,30322,30322,28907,29313
1948-02-16,30166,30166,28852,28662
1948-02-17,30612,30612,29221,29573
1948-02-18,32328,32328,30789,31354
1948-02-19,33999,33999,32431,32959
1948-02-20,34674,34674,33161,32897
1948-02-21,32675,32675,31220,31960
1948-02-22,48463,48463,46314,50552
1948-02-23,46049,46049,43836,42353
1948-02-24,45605,45605,43661,43099
1948-02-25,43956,43956,40834,41173
1948-02-26,68359,68359,57275,60791
1948-02-27,73833,73833,67076,67048
1948-02-28,64655,64655,60572,58825
1948-02-29,55841,55841,52620,51288
1948-03-01,46600,46600,44393,43407
1948-03-02,43047,43047,41050,40265
1948-03-03,42284,42284,40462,39758
1948-03-04,41855,41855,40247,39786
1948-03-05,39000,39000,37439,37175
1948-03-06,36665,36665,35174,34926
1948-03-07,34582,34582,33116,33061
1948-03-08,33084,33084,31645,31670
1948-03-09,33454,33454,32065,31926
1948-03-10,32296,32296,31029,30494
1948-03-11,28539,28539,27269,26927
1948-03-12,29445,29445,28157,28196
1948-03-13,28611,28611,27348,27553
1948-03-14,28543,28543,27289,27383
1948-03-15,29058,29058,27806,27869
1948-03-16,30250,30250,29008,28943
1948-03-17,33067,33067,31799,31837
1948-03-18,32047,32047,30726,30829
1948-03-19,33890,33890,32624,32503
1948-03-20,32435,32435,31211,31090
1948-03-21,33383,33383,32159,32165
1948-03-22,35567,35567,32571,32952
1948-03-23,39141,39141,36906,37396
1948-03-24,36614,36614,34821,35161
1948-03-25,40501,40501,38562,40176
1948-03-26,44402,44402,42590,43365
1948-03-27,44879,44879,43108,42754
1948-03-28,43818,43818,41906,41975
1948-03-29,45841,45841,43454,44007
1948-03-30,49071,49071,46486,46956
1948-03-31,47815,47815,45482,44952
1948-04-01,44451,44461,43123,43283
1948-04-02,47561,47571,46108,47266
1948-04-03,55300,55310,53235,55174
1948-04-04,52770,52780,51028,49932
1948-04-05,50333,50343,48771,48729
1948-04-06,48311,48321,46846,46181
1948-04-07,44147,44157,42863,42335
1948-04-08,43132,43142,41909,41606
1948-04-09,44875,44885,43616,43716
1948-04-10,41921,41931,40612,41451
1948-04-11,46841,46851,44948,45338
1948-04-12,51815,51825,50487,50314
1948-04-13,49959,49969,48724,48424
1948-04-14,53332,53342,52079,52188
1948-04-15,56528,56538,55147,56473
1948-04-16,77092,77102,75230,79979
1948-04-17,101717,101727,98610,102725
1948-04-18,123098,123108,119386,122585
1948-04-19,123443,123453,120636,118933
1948-04-20,126810,126820,124172,124250
1948-04-21,130950,130960,128336,129181
1948-04-22,143979,143989,141028,142685
1948-04-23,144653,144663,141825,141187
1948-04-24,130761,130771,128357,126858
1948-04-25,123824,123834,121488,119872
1948-04-26,108278,108288,106019,104134
1948-04-27,90232,90242,88404,86951
1948-04-28,81575,81585,79946,79294
1948-04-29,87502,87512,85801,87175
1948-04-30,93352,93362,91630,92615
1948-05-01,97405,97415,96184,94939
1948-05-02,89794,89804,88721,87651
1948-05-03,84399,84409,83434,82848
1948-05-04,87843,87853,86607,87217
1948-05-05,88619,88629,87486,87371
1948-05-06,89368,89378,88174,88879
1948-05-07,106471,106482,104876,108884
1948-05-08,128454,128464,126260,128696
1948-05-09,140624,140634,138066,139232
1948-05-10,132288,132298,129954,127902
1948-05-11,123482,123492,121540,120322
1948-05-12,118749,118759,116872,116271
1948-05-13,122593,122603,120585,121829
1948-05-14,132220,132230,130247,131198
1948-05-15,127334,127344,125647,125014
1948-05-16,133187,133197,131563,132399
1948-05-17,145331,145341,143678,146328
1948-05-18,172539,172549,170933,174498
1948-05-19,186058,186068,184536,187162
1948-05-20,222524,222534,220736,225233
1948-05-21,237327,237337,235404,237299
1948-05-22,268954,268964,266906,270461
1948-05-23,275622,275632,272092,271046
1948-05-24,253161,253171,249169,247770
1948-05-25,253392,253402,250465,251593
1948-05-26,266533,266543,264034,266786
1948-05-27,288335,288345,285969,288997
1948-05-28,313578,313588,311375,313929
1948-05-29,337675,337685,335158,335513
1948-05-30,311297,311307,309027,305308
1948-05-31,278907,278917,277055,274305
1948-06-01,267761,267781,266517,265237
1948-06-02,258527,258547,257350,257580
1948-06-03,271226,271246,270016,271894
1948-06-04,271291,271311,270067,269617
1948-06-05,253097,253117,252030,250430
1948-06-06,243877,243897,242891,242212
1948-06-07,243302,243322,242417,242499
1948-06-08,241653,241673,240805,240808
1948-06-09,234933,234953,234150,233345
1948-06-10,225885,225905,225139,224021
1948-06-11,214488,214508,213742,212032
1948-06-12,200104,200124,199475,197022
1948-06-13,183366,183386,182799,180516
1948-06-14,173147,173167,172623,170799
1948-06-15,159395,159415,158883,157265
1948-06-16,155918,155938,155322,154498
1948-06-17,151926,151946,151433,149743
1948-06-18,144308,144328,143893,142043
1948-06-19,136793,136813,136404,134915
1948-06-20,124611,124631,124256,123398
1948-06-21,129729,129749,129358,129702
1948-06-22,132800,132820,132433,133369
1948-06-23,126547,126567,126232,124676
1948-06-24,114836,114856,114539,113301
1948-06-25,108562,108582,108271,107259
1948-06-26,94963,94983,94689,94051
1948-06-27,81522,81542,81262,81133
1948-06-28,84138,84158,83913,83669
1948-06-29,79970,79990,79759,78822
1948-06-30,75124,75144,74920,74414
1948-07-01,75351,75381,75194,75131
1948-07-02,72102,72132,71964,71327
1948-07-03,72535,72565,72416,71398
1948-07-04,67219,67249,67114,66087
1948-07-05,67641,67671,67498,66448
1948-07-06,62394,62424,62283,61359
1948-07-07,57895,57925,57785,57144
1948-07-08,55855,55885,55755,55256
1948-07-09,53760,53790,53681,53229
1948-07-10,51947,51977,51872,51490
1948-07-11,50346,50376,50275,49983
1948-07-12,48215,48245,48157,47866
1948-07-13,47150,47180,47105,46696
1948-07-14,44408,44438,44370,44002
1948-07-15,42095,42125,42067,41748
1948-07-16,40493,40523,40465,40180
1948-07-17,38580,38610,38556,38340
1948-07-18,36933,36963,36911,36845
1948-07-19,38534,38564,38491,38729
1948-07-20,40860,40890,40769,41284
1948-07-21,41648,41678,41523,41305
1948-07-22,39158,39188,39122,38644
1948-07-23,36452,36482,36436,36073
1948-07-24,34984,35014,34979,34709
1948-07-25,33117,33147,33119,32956
1948-07-26,31794,31824,31803,31718
1948-07-27,31384,31414,31388,31526
1948-07-28,33563,33593,33421,34518
1948-07-29,43009,43039,42629,44622
1948-07-30,40009,40039,39753,38269
1948-07-31,35527,35557,35372,34435
1948-08-01,31054,31074,31015,30449
1948-08-02,29029,29049,28976,28932
1948-08-03,29283,29303,29251,29250
1948-08-04,29311,29331,29292,29120
1948-08-05,27872,27892,27862,27636
1948-08-06,26829,26849,26825,26648
1948-08-07,25707,25727,25707,25585
1948-08-08,25140,25160,25145,25068
1948-08-09,25971,25991,25980,25954
1948-08-10,24239,24259,24244,24300
1948-08-11,24306,24326,24300,24453
1948-08-12,24512,24532,24518,24516
1948-08-13,25148,25168,25160,25080
1948-08-14,24872,24892,24884,24809
1948-08-15,22915,22935,22929,22865
1948-08-16,22240,22260,22261,22159
1948-08-17,23154,23174,23178,23072
1948-08-18,23030,23050,23054,22983
1948-08-19,22936,22956,22963,22926
1948-08-20,23284,23304,23309,23318
1948-08-21,23097,23117,23125,23158
1948-08-22,23467,23487,23493,23492
1948-08-23,22776,22796,22793,22823
1948-08-24,22193,22213,22208,22322
1948-08-25,23077,23097,23085,23290
1948-08-26,24095,24115,24114,24136
1948-08-27,24381,24401,24403,24349
1948-08-28,22549,22569,22574,22478
1948-08-29,22543,22563,22569,22537
1948-08-30,22153,22173,22183,22153
1948-08-31,22462,22482,22494,22409
1948-09-01,22084,22094,22055,21991
1948-09-02,21713,21723,21686,21743
1948-09-03,20614,20624,20589,20560
1948-09-04,20525,20535,20501,20422
1948-09-05,20267,20277,20242,20188
1948-09-06,19193,19203,19171,19151
1948-09-07,19456,19466,19433,19480
1948-09-08,20181,20191,20159,20232
1948-09-09,19230,19240,19209,19241
1948-09-10,19503,19513,19483,19508
1948-09-11,19552,19562,19531,19543
1948-09-12,19786,19796,19766,19771
1948-09-13,19260,19270,19242,19236
1948-09-14,19219,19229,19201,19196
1948-09-15,19213,19223,19195,19186
1948-09-16,20341,20351,20324,20321
1948-09-17,21250,21260,21229,21257
1948-09-18,19912,19922,19891,20002
1948-09-19,20974,20984,20952,21133
1948-09-20,20494,20504,20475,20599
1948-09-21,20779,20789,20761,20863
1948-09-22,21080,21090,21061,21166
1948-09-23,21249,21259,21224,21391
1948-09-24,23282,23292,23249,23427
1948-09-25,22163,22173,22137,22229
1948-09-26,21503,21513,21472,21512
1948-09-27,22515,22525,22466,22786
1948-09-28,24044,24054,24000,24288
1948-09-29,24497,24507,24463,24331
1948-09-30,24764,24774,24736,24555
1948-10-01,23706,23706,23617,23484
1948-10-02,23445,23445,23357,23254
1948-10-03,24351,24351,24264,24176
1948-10-04,25776,25776,25682,25676
1948-10-05,23070,23070,22954,23148
1948-10-06,25665,25665,25560,26011
1948-10-07,26311,26311,26215,26152
1948-10-08,24287,24287,24193,24119
1948-10-09,24094,24094,24002,24063
1948-10-10,25831,25831,25742,25706
1948-10-11,27603,27603,27515,27369
1948-10-12,27791,27791,27704,27564
1948-10-13,27901,27901,27814,27708
1948-10-14,24311,24311,24225,24156
1948-10-15,21778,21778,21692,21650
1948-10-16,19201,19201,19115,19099
1948-10-17,18216,18216,18130,18144
1948-10-18,19126,19126,19040,19048
1948-10-19,18627,18627,18542,18527
1948-10-20,20021,20021,19937,19878
1948-10-21,20294,20294,20210,20174
1948-10-22,20374,20374,20290,20263
1948-10-23,22756,22756,22672,22600
1948-10-24,21618,21618,21532,21490
1948-10-25,20961,20961,20877,20928
1948-10-26,22005,22005,21920,22028
1948-10-27,22011,22011,21925,21946
1948-10-28,23333,23333,23247,23239
1948-10-29,22774,22774,22689,22632
1948-10-30,20949,20949,20864,20840
1948-10-31,20800,20800,20712,20764
1948-11-01,24727,24727,24582,24926
1948-11-02,26025,26025,25878,26193
1948-11-03,28361,28361,28163,28662
1948-11-04,28525,28525,28321,28634
1948-11-05,30726,30726,30566,30228
1948-11-06,27662,27662,27514,27192
1948-11-07,26690,26690,26548,26244
1948-11-08,24977,24977,24839,24568
1948-11-09,23799,23799,23665,23459
1948-11-10,23764,23764,23622,23532
1948-11-11,22400,22400,22266,22323
1948-11-12,23462,23462,23328,23432
1948-11-13,23910,23910,23775,23856
1948-11-14,23353,23353,23207,23289
1948-11-15,23259,23259,23095,23169
1948-11-16,24665,24665,24489,24667
1948-11-17,25834,25834,25665,25680
1948-11-18,23740,23740,23588,23504
1948-11-19,22278,22278,22130,22062
1948-11-20,21267,21267,21118,21113
1948-11-21,21329,21329,21182,21323
1948-11-22,22703,22703,22551,22689
1948-11-23,22777,22777,22563,22889
1948-11-24,28335,28335,27806,28817
1948-11-25,30772,30772,30459,30480
1948-11-26,28823,28823,28595,28096
1948-11-27,27543,27543,27377,27047
1948-11-28,27616,27616,27430,27207
1948-11-29,26344,26344,26176,25992
1948-11-30,22655,22655,22489,22342
1948-12-01,23878,23878,23601,23526
1948-12-02,23597,23597,23289,23328
1948-12-03,23128,23128,22677,22926
1948-12-04,21636,21636,21268,21376
1948-12-05,21742,21742,21410,21454
1948-12-06,24101,24101,23741,23936
1948-12-07,25494,25494,25138,25158
1948-12-08,22726,22726,22385,22212
1948-12-09,21699,21699,21419,21294
1948-12-10,23673,23673,23351,23402
1948-12-11,21680,21680,21274,21475
1948-12-12,23376,23376,22983,23257
1948-12-13,25370,25370,25050,25151
1948-12-14,27946,27946,27681,27657
1948-12-15,28331,28331,28075,27903
1948-12-16,27023,27023,26772,26434
1948-12-17,25697,25697,25468,24968
1948-12-18,23022,23022,22804,22382
1948-12-19,20981,20981,20726,20574
1948-12-20,19890,19890,19607,19935
1948-12-21,20861,20861,20561,21033
1948-12-22,21107,21107,20805,20991
1948-12-23,21845,21845,21600,21392
1948-12-24,21660,21660,21448,21059
1948-12-25,16098,16098,15889,15628
1948-12-26,21232,21232,21004,21083
1948-12-27,23514,23514,23278,23344
1948-12-28,27035,27035,26779,27038
1948-12-29,23711,23711,23444,23949
1948-12-30,25326,25326,25059,25125
1948-12-31,24273,24273,24003,24087
1949-01-01,22653,22653,22273,22560
1949-01-02,22841,22841,22485,22177
1949-01-03,23381,23381,23069,22709
1949-01-04,20916,20916,20626,20279
1949-01-05,19628,19628,19318,19366
1949-01-06,22117,22117,21764,22113
1949-01-07,21971,21971,21610,21735
1949-01-08,23054,23054,22736,22695
1949-01-09,20608,20608,20312,20187
1949-01-10,20556,20556,20305,20109
1949-01-11,20145,20145,19875,19820
1949-01-12,20193,20193,19928,19980
1949-01-13,20666,20666,20401,20576
1949-01-14,20443,20443,20160,20271
1949-01-15,21253,21253,20970,21048
1949-01-16,23815,23815,23552,23469
1949-01-17,23399,23399,23116,23081
1949-01-18,21937,21937,21675,21771
1949-01-19,22393,22393,22130,22178
1949-01-20,20824,20824,20582,20509
1949-01-21,22604,22604,22343,22280
1949-01-22,22344,22344,22062,21987
1949-01-23,22592,22592,22330,22288
1949-01-24,21880,21880,21619,21609
1949-01-25,20221,20221,19980,20019
1949-01-26,18060,18060,17799,17837
1949-01-27,17754,17754,17492,17608
1949-01-28,18957,18957,18696,18889
1949-01-29,17032,17032,16770,16818
1949-01-30,17578,17578,17317,17351
1949-01-31,18257,18257,17995,17980
1949-02-01,24659,24659,23648,23605
1949-02-02,24419,24419,23396,23335
1949-02-03,24836,24836,23812,23831
1949-02-04,24950,24950,23926,23942
1949-02-05,24909,24909,23898,23801
1949-02-06,24946,24946,23935,23881
1949-02-07,24513,24513,23489,23471
1949-02-08,24691,24691,23680,23658
1949-02-09,25265,25265,24247,24474
1949-02-10,30177,30177,29003,30175
1949-02-11,25761,25761,24684,23758
1949-02-12,22488,22488,21447,21345
1949-02-13,24926,24926,23885,23924
1949-02-14,28456,28456,27391,27630
1949-02-15,34159,34159,33053,33401
1949-02-16,36690,36690,35391,36749
1949-02-17,34527,34527,32786,33202
1949-02-18,33642,33642,30980,31694
1949-02-19,28817,28817,26550,26386
1949-02-20,26987,26987,24966,25386
1949-02-21,26906,26906,25083,25360
1949-02-22,38196,38196,36046,38152
1949-02-23,48699,48699,45483,45628
1949-02-24,58620,58620,55146,56445
1949-02-25,51918,51918,48959,48676
1949-02-26,46418,46418,43705,43401
1949-02-27,55859,55859,53269,53092
1949-02-28,61546,61546,59079,58881
1949-03-01,60008,60008,57926,57807
1949-03-02,59701,59701,57604,57591
1949-03-03,52638,52638,50448,50410
1949-03-04,50723,50723,48335,48733
1949-03-05,54642,54642,52116,52941
1949-03-06,58695,58695,56275,56690
1949-03-07,57763,57763,55279,55467
1949-03-08,58435,58435,55966,55825
1949-03-09,56063,56063,53769,53099
1949-03-10,53240,53240,51056,50592
1949-03-11,45774,45774,43646,43624
1949-03-12,49935,49935,47822,48393
1949-03-13,51292,51292,49232,49596
1949-03-14,57115,57115,55052,55683
1949-03-15,57920,57920,55912,56122
1949-03-16,62326,62326,60138,61023
1949-03-17,63022,63022,60534,61260
1949-03-18,69243,69243,66385,67784
1949-03-19,84862,84862,81058,83359
1949-03-20,88688,88688,84202,84243
1949-03-21,86197,86197,82133,81311
1949-03-22,81122,81122,77570,76396
1949-03-23,77113,77113,73997,72940
1949-03-24,75938,75938,73164,72203
1949-03-25,71501,71501,68911,67834
1949-03-26,68070,68070,65843,64745
1949-03-27,61050,61050,58954,58177
1949-03-28,61772,61772,59872,59229
1949-03-29,59849,59849,58086,57574
1949-03-30,57542,57542,55741,55356
1949-03-31,57506,57506,55751,55412
1949-04-01,44117,44127,42967,42874
1949-04-02,46938,46948,45680,46165
1949-04-03,45584,45594,44374,44589
1949-04-04,48778,48788,47395,48141
1949-04-05,58468,58478,56745,58583
1949-04-06,66189,66199,64083,66173
1949-04-07,77537,77547,75210,76895
1949-04-08,88520,88530,86059,87204
1949-04-09,87622,87632,85320,84814
1949-04-10,83868,83878,81723,81662
1949-04-11,88752,88762,86344,87666
1949-04-12,97723,97733,95059,96381
1949-04-13,94817,94827,92500,91245
1949-04-14,91396,91406,89467,88227
1949-04-15,86461,86471,84664,84022
1949-04-16,86236,86246,84362,84734
1949-04-17,94681,94691,92521,94289
1949-04-18,105491,105501,103004,105070
1949-04-19,118563,118573,115717,117229
1949-04-20,123468,123478,120315,120136
1949-04-21,117627,117637,115049,113472
1949-04-22,108951,108961,106831,105614
1949-04-23,105195,105205,103231,103107
1949-04-24,114333,114343,112115,113960
1949-04-25,116291,116301,114230,114506
1949-04-26,111326,111336,109518,108996
1949-04-27,111545,111555,109793,110153
1949-04-28,119869,119879,117888,119969
1949-04-29,140779,140789,138133,140315
1949-04-30,135076,135086,132706,130353
1949-05-01,120472,120482,118902,116907
1949-05-02,121944,121954,119703,121711
1949-05-03,144591,144601,142056,145175
1949-05-04,134762,134772,132895,129168
1949-05-05,118742,118752,117300,115282
1949-05-06,109146,109156,107939,106821
1949-05-07,107079,107089,105909,106031
1949-05-08,115314,115324,114032,115657
1949-05-09,132353,132363,130867,134059
1949-05-10,154494,154504,152838,156626
1949-05-11,181144,181154,179388,183124
1949-05-12,205798,205808,204053,206627
1949-05-13,218586,218596,216878,218458
1949-05-14,224867,224877,223268,224249
1949-05-15,233151,233161,231603,232637
1949-05-16,242865,242875,241413,242322
1949-05-17,245497,245507,244238,242925
1949-05-18,226901,226911,225854,222791
1949-05-19,205919,205929,205036,202649
1949-05-20,196171,196181,195395,194682
1949-05-21,192575,192585,191843,191286
1949-05-22,181641,181651,180955,179233
1949-05-23,167935,167945,167305,166092
1949-05-24,159840,159850,159255,158430
1949-05-25,152697,152707,152134,151811
1949-05-26,153559,153569,153018,153725
1949-05-27,161995,162005,161453,163164
1949-05-28,172316,172326,171779,172681
1949-05-29,172465,172475,171951,171671
1949-05-30,171604,171614,171093,170520
1949-05-31,158342,158352,157834,156556
1949-06-01,149278,149298,148853,147739
1949-06-02,138941,138961,138561,136706
1949-06-03,123344,123364,123015,120886
1949-06-04,114458,114478,114157,113093
1949-06-05,111280,111300,110988,111153
1949-06-06,115302,115322,115016,116403
1949-06-07,124244,124264,123961,125225
1949-06-08,128440,128460,128177,128140
1949-06-09,118343,118363,118099,117127
1949-06-10,115922,115942,115695,115201
1949-06-11,118129,118149,117917,117698
1949-06-12,118204,118224,118003,116853
1949-06-13,106676,106696,106494,104826
1949-06-14,95105,95125,94935,93501
1949-06-15,89753,89773,89598,88316
1949-06-16,85854,85874,85702,84552
1949-06-17,78967,78987,78823,77862
1949-06-18,73249,73269,73110,72136
1949-06-19,69607,69627,69479,68699
1949-06-20,63291,63311,63172,62720
1949-06-21,58427,58447,58311,58079
1949-06-22,57776,57796,57666,57623
