date,Ice Harbor Daily Streamflows (unit:cfs),Lower Monumental (unit:cfs),Little Goose (unit:cfs),Lower Granite (unit:cfs)
1976-10-17,20076,20194,19997,19802
1976-10-18,21476,22068,21863,21730
1976-10-19,20648,21955,21741,21669
1976-10-20,20587,21707,21493,21428
1976-10-21,21149,21704,21481,21356
1976-10-22,22717,22931,22703,22627
1976-10-23,23277,23680,23449,23386
1976-10-24,22157,22945,22712,22552
1976-10-25,23164,24121,23860,24017
1976-10-26,22531,24002,23707,23953
1976-10-27,23475,24570,24290,24102
1976-10-28,23529,23465,23179,23110
1976-10-29,24802,24375,24097,24097
1976-10-30,23901,23803,23516,23399
1976-10-31,23646,23905,23620,23696
1976-11-01,26232,26558,25957,26482
1976-11-02,27436,27785,27225,27283
1976-11-03,28059,28352,27882,27767
1976-11-04,25297,25328,24872,24835
1976-11-05,26344,26100,25684,25709
1976-11-06,26336,26392,25976,25765
1976-11-07,23238,24092,23687,23467
1976-11-08,22719,23613,23198,23225
1976-11-09,21884,22384,21989,21904
1976-11-10,23923,24017,23607,23619
1976-11-11,22056,22024,21613,21602
1976-11-12,22702,22962,22568,22575
1976-11-13,22661,23112,22719,22503
1976-11-14,20743,21177,20783,20592
1976-11-15,19774,20019,19608,19534
1976-11-16,19924,19967,19572,19603
1976-11-17,22700,22528,22117,22691
1976-11-18,22373,21983,21557,21742
1976-11-19,23038,22593,22180,22162
1976-11-20,22946,22843,22390,22308
1976-11-21,24631,24786,24330,24224
1976-11-22,27149,27281,26847,26807
1976-11-23,27763,27797,27359,27165
1976-11-24,27700,27631,27194,27150
1976-11-25,28048,27870,27453,27828
1976-11-26,29162,28956,28546,28638
1976-11-27,28112,27978,27642,26993
1976-11-28,27312,27238,26865,26470
1976-11-29,21656,21821,21433,21399
1976-11-30,18348,18511,18185,18582
1976-12-01,27203,26942,26320,26742
1976-12-02,27749,27305,26681,26733
1976-12-03,25090,24602,23957,23777
1976-12-04,24154,23697,23030,23131
1976-12-05,22052,21637,20965,21294
1976-12-06,20715,20650,19973,20436
1976-12-07,24464,24855,24141,24270
1976-12-08,26727,26871,26160,26004
1976-12-09,27130,26821,26091,26022
1976-12-10,27429,26840,26134,26253
1976-12-11,29300,29127,28412,28313
1976-12-12,27821,28248,27549,27107
1976-12-13,26170,27595,26885,26554
1976-12-14,24633,26839,26149,26027
1976-12-15,27174,28586,27879,27777
1976-12-16,28940,29212,28509,28522
1976-12-17,27910,27878,27195,27015
1976-12-18,27145,27607,26900,26641
1976-12-19,25931,26830,26162,25949
1976-12-20,23883,25287,24634,24443
